Distance,Base Angle,Movement,Sentence
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,NO,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : un tapis ; à gauche : une commode ; à droite : une armoire."
Close,Front,YES,"Dans cette pièce, il y a : au sol : un tapis ; à droite : un miroir ; au plafond : un ventilateur ; à gauche : une commode."
Close,Front,YES,"Oui, j'ai déjà vu Fargo, mais non, je n'ai jamais vu Les Affranchis."
Close,Front,YES,"Dans cette pièce, il y a : à gauche : un miroir ; au plafond : un luminaire ; au sol : un tapis ; à droite : une armoire."
Close,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; au sol : du carrelage ; à gauche : un lit."
Close,Side,YES,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Fargo."
Close,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Close,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Close,Side,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : une armoire ; à droite : une commode."
Close,Side,NO,"Oui, j'ai déjà vu Les Affranchis, mais non, je n'ai jamais vu Duel."
Close,Side,YES,"Dans cette pièce, il y a : à droite : un lit ; au plafond : un luminaire ; au sol : du parquet ; à gauche : une armoire."
Far,Front,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Le Parrain."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; au sol : du parquet ; à gauche : un miroir ; à droite : une armoire."
Far,Front,NO,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,YES,"Non, je n'ai jamais vu Duel, mais oui, j'ai déjà vu Les Affranchis."
Far,Front,YES,"Dans cette pièce, il y a : au plafond : un ventilateur ; à droite : une commode ; à gauche : un lit ; au sol : de la moquette."
Far,Front,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Front,NO,"Dans cette pièce, il y a : au plafond : un luminaire ; au sol : un tapis ; à gauche : un lit ; à droite : un miroir."
Far,Side,NO,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
Far,Side,YES,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
Far,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,YES,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,YES,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,YES,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,NO,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,NO,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,NO,"Dans cette pièce, il y a : à droite : une armoire ; au plafond : un luminaire ; à gauche : un miroir ; au sol : un tapis."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à droite : une table ; à gauche : une commode ; au plafond : un ventilateur."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
Far,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,YES,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,NO,"Oui, j'ai déjà vu Duel, mais non, je n'ai jamais vu Fargo."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
Far,Side,NO,"Oui, j'ai déjà vu Le Parrain, mais non, je n'ai jamais vu Les Affranchis."
Far,Side,YES,"Non, je n'ai jamais vu Les Affranchis, mais oui, j'ai déjà vu Duel."
Far,Side,YES,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
Far,Side,NO,"Dans cette pièce, il y a : au sol : du carrelage ; à gauche : un lit ; à droite : un miroir ; au plafond : un luminaire."
